Date,Gold,Silver,Platinum,Copper,Brent_Oil,WTI_Oil,Natural_Gas,SP500,NASDAQ,Dow_Jones,DAX,FTSE100,Nikkei225,BIST100,BIST30,BIST_Banks,BIST_Industrials,THYAO,GARAN,AKBNK,ISCTR,KCHOL,SAHOL,TUPRS,ASELS,BIMAS,USD_TRY,EUR_TRY,Bitcoin,VIX,US_10Y_Bond,Dollar_Index,CSI300,MOEX_Russia,GBP_TRY,SAR_TRY,RUB_TRY
2014-01-03,0.010938795440051052,0.004179502217869446,0.00684783181307802,-0.0074311698789543135,-0.008257556130343846,-0.015507159671776072,-0.003934320290220672,-0.00033296507498215,-0.002693574678253041,0.0017419874694271087,0.0037351278735617832,0.0019054009667938132,,-0.01520761702048179,-0.017716909530194225,-0.016178660883683915,-0.012765942347255366,0.007861578865489882,-0.02941183528148461,-0.01676843197520106,-0.010892931688155305,-0.013761432878544588,-0.05287343987971582,-0.0371228631288707,0.01694924190803926,-0.016129358587899212,0.010375495937086976,0.002700379824868593,,-0.033028765177361974,0.0033500806749393597,0.001984418548427902,,,0.0022822743972559234,0.011265396421290763,-0.0015064819197599943
2014-01-06,-0.0004844764002821522,-0.0052026333546919545,0.0015585909825539535,0.0017616095536554521,-0.0014968288299039845,-0.0056406852326637,0.0004647611349344327,-0.0025117674736410134,-0.004411998271834361,-0.0027256011910867795,-0.0007578459620638522,0.0,,0.031150279242408763,0.03333479472578871,0.04770775414799999,0.022024346050825594,0.046801843800839515,0.05151510375510204,0.054263614437248364,0.0330404129008377,0.02558126486609047,0.021844691320970666,0.03012038601482714,0.009523626365610216,0.0,0.002872781965732152,-0.0017278982304551604,,-0.015261630425426054,-0.011352227442576579,-0.0017328801592021437,,,0.0007495055049875354,0.002872781965732152,0.0007620672774264481
2014-01-07,-0.0067862530963826995,-0.015540184284252412,-0.0007073636800871697,-0.00029306199826495405,0.0058090049441306135,0.002568745188757715,-0.00162574220652012,0.006081764662643874,0.009602107677828542,0.006443787025169012,0.008294462803616787,0.003684580202334864,-0.005940692639656242,0.008476701632574857,0.010270772216043333,0.012935028390133496,0.00016812370622409922,0.019374091321159526,0.010086593386096077,0.010294150142763803,0.004264264691662412,0.004535262035852972,0.023752743669291476,-0.01684210310696288,0.0023588188766423546,-0.01405148679334578,-0.0024461225986034396,-0.0003414223950362061,,-0.04649447273600016,-0.008105346067671548,0.0022318698297609796,,,-0.002151311438473802,-0.0026590479369531517,-0.0017899497782689622
2014-01-08,-0.003334940218413962,-0.012496825106402487,-0.00035393219882629,-0.005130437888465567,-0.001863036339869173,-0.014305501911869412,-0.0193067481722905,-0.0002122089839386998,0.0029928120076470055,-0.0041255500900831965,-0.000879463023156446,-0.0049885567778106266,0.019417787483755555,-0.018468325186947188,-0.018665231286736583,-0.02501774053764383,-0.012752691358497326,-0.007309889563456129,-0.03281028612207415,-0.032023263733570784,-0.023355431805961335,-0.011286740386191485,-0.010440770940583488,-0.01713061875430899,-0.02823552149499564,-0.016626971854153627,-0.0016638684606539167,-0.0027324732882393343,,-0.0038699837801552395,0.019067073063320006,0.002598033894785523,,,-0.0027445250661316534,-0.0015040395242178484,-0.00045750894055374136
2014-01-09,0.0032645065213419144,0.0074290634476339434,0.0038946326229767347,-0.011639898938909155,-0.007092880311783456,-0.007256559684372776,-0.050047429235885454,0.0003483091890779111,-0.002261354803778981,-0.0010921917307822326,-0.008025982059242875,-0.004537475212923026,-0.014956478124877881,-0.013635506179675128,-0.012582895561564222,-0.014228928863509793,-0.013578604595759325,0.011781962418176084,-0.016224022105871927,-0.018044943073592945,0.0021738501848689307,-0.018264769063317532,-0.0269636356536056,-0.02202845854844737,-0.024213132658337688,-0.03381666022021179,0.008079485405025899,0.004791494206427327,,0.0015540371360929228,-0.01002337824386268,-0.0003701724945455176,,0.0015587296916348414,0.010964401068561003,0.008079485405025899,0.008551695317332797
2014-01-10,0.014154316808444811,0.027361038696488205,0.011991253851668437,0.009838995667805106,0.008083472274512005,0.011564450319042852,0.0119849831422294,0.002306686808393188,0.004446375341184972,-0.0004687806015333251,0.005479942481800615,0.00726317742065663,0.0019980373223607018,0.022563156491053338,0.025438161273913407,0.030497357564230887,0.016710332505618153,0.03493457693453794,0.02998487041695075,0.024502103657550345,0.02820045599314791,0.011627812489238165,0.01927714723886287,0.026980012262342923,0.012406915306358846,0.022500214808508057,-0.002976915501482491,-0.0004049707524698132,,-0.05818463770549964,-0.03476212014059232,-0.004320435315290028,,0.003030863595722577,-0.0010381989219642174,-0.003056718475320186,-0.004787604223574493
2014-01-13,0.0033689527606377556,0.007920392342960048,0.005018521981761115,0.0038382081848176153,-0.004662004662004615,-0.009922326971884332,0.054527558846682256,-0.012576216507389826,-0.014700591504474336,-0.010896745039372546,0.003898316371836019,0.0025668471667856796,,0.0022117151249085865,0.0037157213604386286,-0.0038683253178845023,0.0017584051024033265,0.008438785542600025,-0.014556025631509928,0.0,-0.00843867132940268,0.006896572827651326,0.011820468054038802,0.014702578203682481,-0.007352847629626846,-0.009779793624766775,-0.006072693588806466,-0.0012829403466545486,,0.09390439517371685,-0.011538459294069048,-0.0018596766559455524,,0.005369585045346348,-0.005154668307773225,-0.005780821243861367,-0.0012397619665739379
2014-01-14,-0.0045567776248605085,-0.005402515103473116,-0.0069352935922610826,-0.0035294363490432357,-0.003372371057157486,0.008605591066129126,0.022227371656728945,0.010817971767347556,0.016949947281814204,0.007130049613377043,0.0031902525400953063,0.0014354624327954646,,0.00014984842979282043,0.00043993994456625884,0.009590629428580355,-0.002991279439621519,0.006973450944268045,0.008862820751652123,0.013452999813977184,0.010638084574605022,-0.011415585131931971,-0.0058412293225149625,0.001187497092712153,-0.009876479146126105,-0.007407785756812002,0.006784585845841962,0.006625890509190269,,-0.07530120633340298,0.014856758669365977,0.00124206274335803,,-0.004210420895004896,0.0004151721703555822,0.006596493033890871,-0.0008362335700731194
2014-01-15,-0.0057018758949159976,-0.007308222499085804,-0.003352223441779212,0.005460475083499228,0.006955520894960321,0.017064498256256222,-0.010070988600546782,0.005166188100786506,0.007616474014585428,0.006600709865721255,0.02026095139947026,0.00783224235098312,0.025049931809567383,0.0009123155788801629,0.0002462345653346798,-0.0034694484267757675,0.004388770342287351,0.01385052019987243,-0.013177392051179404,-0.008849473693993581,0.004210401452293011,-0.00230929665593127,0.008225555849588506,0.017793690084110247,0.009974996995939067,-0.002487556188779272,0.0016249319524863637,0.0016455692655190646,,0.0,0.005228339185627373,0.004838101807412176,,0.00999956517857048,0.004324511647774587,0.0017318286100178604,8.453591829882257e-05
2014-01-16,0.0015346292315072674,-0.003880068639120715,0.0020321101980762535,-0.004550144783378451,-0.0003733866942300379,-0.002229999878474276,0.01317922837711527,-0.0013471203041568458,0.0009039542524773569,-0.00393944460751483,-0.0016539885292293777,-0.0006598337313504787,-0.0038921704408289015,-0.018947849139585915,-0.019263294767791872,-0.01871030515895733,-0.015427120507507719,-0.01912578563550915,-0.020771593272594147,-0.020833454801361118,-0.018867676028186953,-0.009259183654290126,-0.026806422618474768,0.003496429205334328,-0.019753145852388965,-0.04488780634465195,0.0032539886765998727,-0.0019110545476692664,,0.020358306631616863,-0.014216410158648385,-0.0012345490632234002,,-0.0035940729386888526,-0.0011616282625214192,0.0022908963828587314,-1.723763730165917e-05
